name,longitude,latitude,label
钓鱼岛,123.47,25.74,0
中华人民共和国,116.3683244,39.915085,1
澳门特别行政区,113.543028,22.186835,1
花王堂区,113.548961,22.199207,1
望德堂区,113.550183,22.193721,1
大堂区,113.553647,22.188539,1
风顺堂区,113.541928,22.187368,1
花地玛堂区,113.552896,22.20787,1
嘉模堂区,113.558705,22.15376,1
圣方济各堂区,113.559954,22.123486,1
路凼填海区,113.569599,22.13663,1
北京市,116.407394,39.904211,1
北京城区,116.407394,39.904211,1
昌平区,116.231254,40.220804,1
朝阳区,116.443205,39.921506,1
大兴区,116.341483,39.726917,1
东城区,116.41649,39.928341,1
房山区,116.143486,39.748823,1
丰台区,116.287039,39.858421,1
海淀区,116.298262,39.95993,1
怀柔区,116.631931,40.316053,1
门头沟区,116.101719,39.940338,1
密云区,116.843047,40.376894,1
平谷区,117.121351,40.140595,1
石景山区,116.222933,39.906611,1
顺义区,116.654642,40.130211,1
通州区,116.656434,39.909946,1
西城区,116.365873,39.912235,1
延庆区,115.974981,40.456591,1
重庆市,106.551643,29.562849,1
重庆城区,106.551643,29.562849,1
巴南区,106.540256,29.402408,1
北碚区,106.395612,29.805107,1
璧山区,106.227305,29.592024,1
大渡口区,106.482346,29.484527,1
大足区,105.721733,29.707032,1
涪陵区,107.38977,29.703022,1
合川区,106.27613,29.972084,1
江北区,106.574271,29.606703,1
江津区,106.259281,29.290069,1
九龙坡区,106.510676,29.502272,1
开州区,108.393135,31.160711,1
南岸区,106.644447,29.50126,1
南川区,107.099266,29.15789,1
綦江区,106.651361,29.028066,1
黔江区,108.770677,29.533609,1
荣昌区,105.594623,29.405002,1
沙坪坝区,106.456878,29.541144,1
铜梁区,106.056404,29.844811,1
潼南区,105.840431,30.190992,1
万州区,108.408661,30.807667,1
永川区,105.927001,29.356311,1
渝北区,106.631187,29.718142,1
渝中区,106.568896,29.552736,1
长寿区,107.080734,29.857912,1
重庆郊县,108.165537,29.293902,1
城口县,108.664214,31.947633,1
垫江县,107.33339,30.327716,1
丰都县,107.730894,29.8635,1
奉节县,109.400403,31.018363,1
梁平区,107.769568,30.654233,1
彭水苗族土家族自治县,108.165537,29.293902,1
石柱土家族自治县,108.114069,29.999285,1
巫山县,109.879153,31.074834,1
巫溪县,109.570062,31.398604,1
武隆区,107.760025,29.325601,1
秀山土家族苗族自治县,109.007094,28.447997,1
酉阳土家族苗族自治县,108.767747,28.841244,1
云阳县,108.697324,30.930612,1
忠县,108.039002,30.299559,1
福建省,119.295143,26.100779,1
福州市,119.296389,26.074268,1
仓山区,119.273545,26.046743,1
福清市,119.384201,25.72071,1
鼓楼区,119.303917,26.081983,1
晋安区,119.328521,26.082107,1
连江县,119.539704,26.197364,1
罗源县,119.549776,26.489558,1
马尾区,119.455588,25.9895,1
闽侯县,119.131724,26.150047,1
闽清县,118.863361,26.221197,1
平潭县,119.790168,25.49872,1
台江区,119.314041,26.052843,1
永泰县,118.932592,25.866694,1
长乐区,119.523266,25.962888,1
龙岩市,117.017295,25.075119,1
连城县,116.754472,25.710538,1
上杭县,116.420098,25.049518,1
武平县,116.100414,25.095386,1
新罗区,117.037155,25.098312,1
永定区,116.732091,24.723961,1
漳平市,117.419998,25.290184,1
长汀县,116.357581,25.833531,1
南平市,118.17771,26.641774,1
光泽县,117.334106,27.540987,1
建瓯市,118.304966,27.022774,1
建阳区,118.120464,27.331876,1
浦城县,118.541256,27.917263,1
邵武市,117.492533,27.340326,1
顺昌县,117.810357,26.793288,1
松溪县,118.785468,27.526232,1
武夷山市,118.035309,27.756647,1
延平区,118.182036,26.637438,1
政和县,118.857642,27.366104,1
宁德市,119.547932,26.665617,1
福鼎市,120.216977,27.324479,1
福安市,119.64785,27.08834,1
古田县,118.746284,26.577837,1
蕉城区,119.526299,26.66061,1
屏南县,118.985895,26.908276,1
寿宁县,119.514986,27.454479,1
霞浦县,120.005146,26.885703,1
柘荣县,119.900609,27.233933,1
周宁县,119.339025,27.104591,1
厦门市,118.089204,24.479664,1
海沧区,118.032984,24.484685,1
湖里区,118.146768,24.512904,1
集美区,118.097337,24.575969,1
思明区,118.082649,24.445484,1
同安区,118.152041,24.723234,1
翔安区,118.248034,24.618543,1
莆田市,119.007777,25.454084,1
城厢区,118.993884,25.419319,1
涵江区,119.116289,25.45872,1
荔城区,119.015061,25.431941,1
仙游县,118.691637,25.362093,1
秀屿区,119.105494,25.31836,1
三明市,117.638678,26.263406,1
大田县,117.847115,25.692699,1
建宁县,116.848443,26.833588,1
将乐县,117.471372,26.728952,1
梅列区,117.645855,26.271711,1
明溪县,117.202226,26.355856,1
宁化县,116.654365,26.261754,1
清流县,116.816909,26.177796,1
三元区,117.608044,26.234019,1
沙县,117.792396,26.397199,1
泰宁县,117.17574,26.900259,1
永安市,117.365052,25.941937,1
尤溪县,118.190467,26.170171,1
泉州市,118.675676,24.874132,1
安溪县,118.186288,25.055954,1
德化县,118.241094,25.491493,1
丰泽区,118.613172,24.891173,1
惠安县,118.796607,25.030801,1
金门县,118.323221,24.436417,1
晋江市,118.551682,24.781636,1
鲤城区,118.587097,24.907424,1
洛江区,118.671193,24.939796,1
南安市,118.386279,24.960385,1
泉港区,118.916309,25.119815,1
石狮市,118.648066,24.732204,1
永春县,118.294048,25.321565,1
漳州市,117.647093,24.513025,1
东山县,117.430061,23.701262,1
华安县,117.534103,25.004425,1
龙海市,117.818197,24.446706,1
龙文区,117.709754,24.503113,1
南靖县,117.35732,24.514654,1
平和县,117.315017,24.363508,1
芗城区,117.653968,24.510787,1
云霄县,117.339573,23.957936,1
漳浦县,117.613808,24.117102,1
长泰县,117.759153,24.625449,1
诏安县,117.175184,23.711579,1
广东省,113.26641,23.132324,1
中山市,113.39277,22.517585,1
南头镇,113.291867,22.717679,1
小榄镇,113.250897,22.672099,1
神湾镇,113.363816,22.302496,1
东凤镇,113.256963,22.702452,1
南朗镇,113.530998,22.498612,1
环城街道,113.352385,22.478059,1
坦洲镇,113.468002,22.254504,1
中山港街道,113.47457,22.560023,1
南区街道,113.354416,22.485429,1
五桂山街道,113.402421,22.446247,1
石歧区街道,113.372237,22.520661,1
西区街道,113.358988,22.520088,1
东区街道,113.398577,22.513701,1
三乡镇,113.441608,22.357768,1
大涌镇,113.300876,22.46497,1
黄圃镇,113.33915,22.710864,1
石岐区街道,113.388358,22.536656,1
沙溪镇,113.321321,22.508984,1
东升镇,113.291662,22.62273,1
阜沙镇,113.349872,22.667171,1
民众镇,113.493839,22.621554,1
横栏镇,113.249104,22.534847,1
三角镇,113.418173,22.67658,1
板芙镇,113.322644,22.416782,1
港口镇,113.385893,22.585266,1
古镇镇,113.190869,22.613406,1
东沙群岛,116.887613,20.617825,1
潮州市,116.622444,23.657262,1
潮安区,116.678203,23.462613,1
饶平县,117.0039,23.663824,1
湘桥区,116.628627,23.674387,1
东莞市,113.751799,23.020673,1
东坑镇,113.933872,22.995838,1
大岭山镇,113.842223,22.899965,1
企石镇,114.022023,23.072874,1
沙田镇,113.61818,22.919615,1
道滘镇,113.675231,23.004366,1
虎门镇,113.672553,22.814835,1
望牛墩镇,113.656231,23.055334,1
南城街道,113.743835,23.018534,1
莞城街道,113.749234,23.038629,1
东城街道,113.783327,23.028053,1
万江街道,113.738542,23.047104,1
石排镇,113.9403,23.090292,1
厚街镇,113.67114,22.936585,1
长安镇,113.802516,22.814768,1
石碣镇,113.813068,23.099651,1
大朗镇,113.943978,22.940016,1
横沥镇,113.965588,23.018472,1
樟木头镇,114.083278,22.914909,1
清溪镇,114.164185,22.843847,1
麻涌镇,113.581134,23.051137,1
茶山镇,113.869636,23.076755,1
凤岗镇,114.136944,22.74695,1
高埗镇,113.745951,23.090824,1
中堂镇,113.656917,23.092609,1
桥头镇,114.10316,23.024132,1
谢岗镇,114.148739,22.961616,1
黄江镇,114.003561,22.915278,1
塘厦镇,114.072575,22.806965,1
寮步镇,113.874871,22.997358,1
洪梅镇,113.608903,22.994717,1
常平镇,113.993116,22.974855,1
石龙镇,113.874378,23.10591,1
佛山市,113.121435,23.021478,1
禅城区,113.122421,23.009551,1
高明区,112.892585,22.900139,1
南海区,113.143441,23.028956,1
三水区,112.896685,23.155931,1
顺德区,113.293359,22.80524,1
广州市,113.264385,23.12911,1
白云区,113.273238,23.157367,1
从化区,113.586679,23.548748,1
番禺区,113.384152,22.937556,1
海珠区,113.317443,23.083788,1
花都区,113.220463,23.403744,1
黄埔区,113.480541,23.181706,1
荔湾区,113.244258,23.125863,1
南沙区,113.525165,22.801624,1
天河区,113.361575,23.124807,1
越秀区,113.266835,23.128537,1
增城区,113.810627,23.261465,1
河源市,114.700961,23.743686,1
东源县,114.746344,23.788189,1
和平县,114.938684,24.44218,1
连平县,114.488556,24.369583,1
龙川县,115.259871,24.100066,1
源城区,114.702517,23.733969,1
紫金县,115.184107,23.635745,1
惠州市,114.415612,23.112381,1
博罗县,114.289528,23.172771,1
惠城区,114.382474,23.084137,1
惠东县,114.719988,22.985014,1
惠阳区,114.456176,22.789788,1
龙门县,114.254863,23.727737,1
江门市,113.081542,22.57899,1
恩平市,112.305145,22.183206,1
鹤山市,112.964252,22.76545,1
江海区,113.111612,22.560473,1
开平市,112.698545,22.376395,1
蓬江区,113.078521,22.595149,1
台山市,112.794065,22.251924,1
新会区,113.034187,22.4583,1
揭阳市,116.372708,23.549701,1
惠来县,116.29515,23.033266,1
揭东区,116.412015,23.566126,1
揭西县,115.841837,23.431294,1
普宁市,116.165777,23.297493,1
榕城区,116.367012,23.525382,1
茂名市,110.925439,21.662991,1
电白区,111.013556,21.514163,1
高州市,110.853299,21.918203,1
化州市,110.639565,21.66463,1
茂南区,110.918026,21.641337,1
信宜市,110.947043,22.354385,1
梅州市,116.122523,24.288578,1
大埔县,116.695195,24.347782,1
丰顺县,116.181691,23.739343,1
蕉岭县,116.171355,24.658699,1
梅江区,116.116695,24.31049,1
梅县区,116.081656,24.265926,1
平远县,115.891638,24.567261,1
五华县,115.775788,23.932409,1
兴宁市,115.731167,24.136708,1
清远市,113.056042,23.681774,1
佛冈县,113.531607,23.879192,1
连州市,112.377361,24.780966,1
连南瑶族自治县,112.287012,24.726017,1
连山壮族瑶族自治县,112.093617,24.570491,1
清新区,113.017747,23.734677,1
清城区,113.062692,23.697899,1
阳山县,112.641363,24.465359,1
英德市,113.401701,24.206986,1
汕头市,116.681972,23.354091,1
潮南区,116.439178,23.23865,1
澄海区,116.755992,23.466709,1
潮阳区,116.601509,23.265356,1
濠江区,116.726973,23.286079,1
金平区,116.70345,23.365556,1
龙湖区,116.716446,23.372254,1
南澳县,117.023374,23.421724,1
汕尾市,115.375431,22.78705,1
城区,115.365058,22.779207,1
海丰县,115.323436,22.966585,1
陆丰市,115.652151,22.919228,1
陆河县,115.660143,23.301616,1
韶关市,113.59762,24.810879,1
乐昌市,113.347545,25.130602,1
南雄市,114.311982,25.117753,1
曲江区,113.604535,24.682501,1
仁化县,113.749027,25.085621,1
乳源瑶族自治县,113.275883,24.776078,1
始兴县,114.061789,24.952976,1
翁源县,114.130342,24.350346,1
武江区,113.587756,24.792926,1
新丰县,114.206867,24.05976,1
浈江区,113.611098,24.804381,1
深圳市,114.057939,22.543527,1
宝安区,113.883802,22.554996,1
福田区,114.055072,22.521521,1
龙岗区,114.246899,22.720974,1
龙华区,114.045422,22.696667,1
罗湖区,114.131459,22.548389,1
南山区,113.930413,22.533287,1
坪山区,114.350584,22.708881,1
盐田区,114.236739,22.557001,1
阳江市,111.982589,21.857887,1
江城区,111.955058,21.861786,1
阳西县,111.61766,21.752771,1
阳东区,112.006363,21.868337,1
阳春市,111.791587,22.17041,1
云浮市,112.044491,22.915094,1
罗定市,111.569892,22.768285,1
新兴县,112.225334,22.69569,1
云安区,112.003208,23.071019,1
郁南县,111.535285,23.23456,1
云城区,112.043945,22.92815,1
湛江市,110.356639,21.270145,1
赤坎区,110.365899,21.266119,1
雷州市,110.096586,20.914178,1
廉江市,110.286208,21.6097,1
麻章区,110.334387,21.263442,1
坡头区,110.455332,21.244721,1
遂溪县,110.250123,21.377246,1
吴川市,110.778411,21.441808,1
霞山区,110.397656,21.192457,1
徐闻县,110.176749,20.325489,1
肇庆市,112.465091,23.047191,1
德庆县,111.785937,23.143722,1
鼎湖区,112.567588,23.158447,1
端州区,112.484848,23.052101,1
封开县,111.512343,23.424033,1
高要区,112.457981,23.025305,1
广宁县,112.44069,23.634675,1
怀集县,112.167742,23.92035,1
四会市,112.734103,23.327001,1
珠海市,113.576677,22.270978,1
斗门区,113.296467,22.2092,1
金湾区,113.362656,22.147471,1
香洲区,113.543784,22.265811,1
广西壮族自治区,108.327546,22.815478,1
北海市,109.120161,21.481291,1
海城区,109.117209,21.475004,1
合浦县,109.207335,21.660935,1
铁山港区,109.42158,21.529127,1
银海区,109.139862,21.449308,1
百色市,106.618202,23.90233,1
德保县,106.615373,23.32345,1
靖西市,106.417805,23.134117,1
乐业县,106.556519,24.776827,1
凌云县,106.56131,24.347557,1
隆林各族自治县,105.34404,24.770896,1
那坡县,105.83253,23.387441,1
平果县,107.589809,23.329376,1
田林县,106.228538,24.294487,1
田东县,107.12608,23.597194,1
田阳县,106.915496,23.735692,1
西林县,105.093825,24.489823,1
右江区,106.618225,23.90097,1
崇左市,107.365094,22.377253,1
大新县,107.200654,22.829287,1
扶绥县,107.904186,22.635012,1
江州区,107.353437,22.405325,1
龙州县,106.854482,22.342778,1
宁明县,107.076456,22.140192,1
凭祥市,106.766293,22.094484,1
天等县,107.143432,23.081394,1
防城港市,108.353846,21.68686,1
东兴市,107.971828,21.547821,1
防城区,108.353499,21.769211,1
港口区,108.380143,21.643383,1
上思县,107.983627,22.153671,1
桂林市,110.179953,25.234479,1
叠彩区,110.301723,25.314,1
灌阳县,111.160851,25.489383,1
恭城瑶族自治县,110.828409,24.831682,1
荔浦县,110.395104,24.488342,1
临桂区,110.212463,25.238628,1
灵川县,110.319897,25.394781,1
龙胜各族自治县,110.011238,25.797931,1
平乐县,110.643305,24.633362,1
七星区,110.317826,25.252701,1
全州县,111.072946,25.928387,1
象山区,110.281082,25.261686,1
兴安县,110.67167,25.611704,1
秀峰区,110.264183,25.273625,1
阳朔县,110.496593,24.77848,1
雁山区,110.28669,25.101934,1
永福县,109.983076,24.979855,1
资源县,110.6527,26.042443,1
贵港市,109.598926,23.11153,1
港南区,109.599556,23.075573,1
港北区,109.57224,23.11153,1
桂平市,110.079379,23.394325,1
平南县,110.392311,23.539264,1
覃塘区,109.452662,23.127149,1
河池市,108.085261,24.692931,1
巴马瑶族自治县,107.258588,24.142298,1
大化瑶族自治县,107.998149,23.736457,1
东兰县,107.374293,24.510842,1
都安瑶族自治县,108.105311,23.932675,1
凤山县,107.04219,24.546876,1
环江毛南族自治县,108.258028,24.825664,1
金城江区,108.037276,24.689703,1
罗城仫佬族自治县,108.904706,24.777411,1
南丹县,107.541244,24.975631,1
天峨县,107.173802,24.999108,1
宜州区,108.636414,24.485214,1
贺州市,111.566871,24.403528,1
八步区,111.552095,24.411805,1
富川瑶族自治县,111.27745,24.814443,1
平桂区,111.479923,24.453845,1
昭平县,110.811325,24.169385,1
钟山县,111.303009,24.525957,1
来宾市,109.221465,23.750306,1
合山市,108.886082,23.806535,1
金秀瑶族自治县,110.189462,24.130374,1
武宣县,109.663206,23.59411,1
忻城县,108.665666,24.066234,1
象州县,109.705065,23.973793,1
兴宾区,109.183333,23.72892,1
柳州市,109.428608,24.326291,1
城中区,109.4273,24.366,1
柳城县,109.24473,24.651518,1
柳北区,109.402049,24.362691,1
柳江区,109.32638,24.254891,1
柳南区,109.385518,24.336229,1
鹿寨县,109.750638,24.472897,1
融水苗族自治县,109.256334,25.065934,1
融安县,109.397538,25.224549,1
三江侗族自治县,109.607675,25.783198,1
