name,longitude,latitude,label
钓鱼岛,123.47,25.74,0
澳门特别行政区,113.543028,22.186835,1
花王堂区,113.548961,22.199207,1
望德堂区,113.550183,22.193721,1
大堂区,113.553647,22.188539,1
风顺堂区,113.541928,22.187368,1
花地玛堂区,113.552896,22.20787,1
嘉模堂区,113.558705,22.15376,1
圣方济各堂区,113.559954,22.123486,1
路凼填海区,113.569599,22.13663,1
福建省,119.295143,26.100779,1
福州市,119.296389,26.074268,1
仓山区,119.273545,26.046743,1
福清市,119.384201,25.72071,1
鼓楼区,119.303917,26.081983,1
晋安区,119.328521,26.082107,1
连江县,119.539704,26.197364,1
罗源县,119.549776,26.489558,1
马尾区,119.455588,25.9895,1
闽侯县,119.131724,26.150047,1
闽清县,118.863361,26.221197,1
平潭县,119.790168,25.49872,1
台江区,119.314041,26.052843,1
永泰县,118.932592,25.866694,1
长乐区,119.523266,25.962888,1
龙岩市,117.017295,25.075119,1
新罗区,117.037155,25.098312,1
永定区,116.732091,24.723961,1
漳平市,117.419998,25.290184,1
南平市,118.17771,26.641774,1
光泽县,117.334106,27.540987,1
建瓯市,118.304966,27.022774,1
建阳区,118.120464,27.331876,1
浦城县,118.541256,27.917263,1
邵武市,117.492533,27.340326,1
顺昌县,117.810357,26.793288,1
松溪县,118.785468,27.526232,1
武夷山市,118.035309,27.756647,1
延平区,118.182036,26.637438,1
政和县,118.857642,27.366104,1
宁德市,119.547932,26.665617,1
福鼎市,120.216977,27.324479,1
福安市,119.64785,27.08834,1
古田县,118.746284,26.577837,1
蕉城区,119.526299,26.66061,1
屏南县,118.985895,26.908276,1
寿宁县,119.514986,27.454479,1
霞浦县,120.005146,26.885703,1
柘荣县,119.900609,27.233933,1
周宁县,119.339025,27.104591,1
厦门市,118.089204,24.479664,1
海沧区,118.032984,24.484685,1
湖里区,118.146768,24.512904,1
集美区,118.097337,24.575969,1
思明区,118.082649,24.445484,1
同安区,118.152041,24.723234,1
翔安区,118.248034,24.618543,1
莆田市,119.007777,25.454084,1
城厢区,118.993884,25.419319,1
涵江区,119.116289,25.45872,1
荔城区,119.015061,25.431941,1
仙游县,118.691637,25.362093,1
秀屿区,119.105494,25.31836,1
三明市,117.638678,26.263406,1
大田县,117.847115,25.692699,1
将乐县,117.471372,26.728952,1
梅列区,117.645855,26.271711,1
明溪县,117.202226,26.355856,1
三元区,117.608044,26.234019,1
沙县,117.792396,26.397199,1
泰宁县,117.17574,26.900259,1
永安市,117.365052,25.941937,1
尤溪县,118.190467,26.170171,1
泉州市,118.675676,24.874132,1
安溪县,118.186288,25.055954,1
德化县,118.241094,25.491493,1
丰泽区,118.613172,24.891173,1
惠安县,118.796607,25.030801,1
金门县,118.323221,24.436417,1
晋江市,118.551682,24.781636,1
鲤城区,118.587097,24.907424,1
洛江区,118.671193,24.939796,1
南安市,118.386279,24.960385,1
泉港区,118.916309,25.119815,1
石狮市,118.648066,24.732204,1
永春县,118.294048,25.321565,1
漳州市,117.647093,24.513025,1
东山县,117.430061,23.701262,1
华安县,117.534103,25.004425,1
龙海市,117.818197,24.446706,1
龙文区,117.709754,24.503113,1
南靖县,117.35732,24.514654,1
平和县,117.315017,24.363508,1
芗城区,117.653968,24.510787,1
云霄县,117.339573,23.957936,1
漳浦县,117.613808,24.117102,1
长泰县,117.759153,24.625449,1
诏安县,117.175184,23.711579,1
广东省,113.26641,23.132324,1
中山市,113.39277,22.517585,1
南头镇,113.291867,22.717679,1
小榄镇,113.250897,22.672099,1
神湾镇,113.363816,22.302496,1
东凤镇,113.256963,22.702452,1
南朗镇,113.530998,22.498612,1
环城街道,113.352385,22.478059,1
坦洲镇,113.468002,22.254504,1
中山港街道,113.47457,22.560023,1
南区街道,113.354416,22.485429,1
五桂山街道,113.402421,22.446247,1
石歧区街道,113.372237,22.520661,1
西区街道,113.358988,22.520088,1
东区街道,113.398577,22.513701,1
三乡镇,113.441608,22.357768,1
大涌镇,113.300876,22.46497,1
黄圃镇,113.33915,22.710864,1
石岐区街道,113.388358,22.536656,1
沙溪镇,113.321321,22.508984,1
东升镇,113.291662,22.62273,1
阜沙镇,113.349872,22.667171,1
民众镇,113.493839,22.621554,1
横栏镇,113.249104,22.534847,1
三角镇,113.418173,22.67658,1
板芙镇,113.322644,22.416782,1
港口镇,113.385893,22.585266,1
古镇镇,113.190869,22.613406,1
东沙群岛,116.887613,20.617825,1
潮州市,116.622444,23.657262,1
潮安区,116.678203,23.462613,1
饶平县,117.0039,23.663824,1
湘桥区,116.628627,23.674387,1
东莞市,113.751799,23.020673,1
东坑镇,113.933872,22.995838,1
大岭山镇,113.842223,22.899965,1
企石镇,114.022023,23.072874,1
沙田镇,113.61818,22.919615,1
道滘镇,113.675231,23.004366,1
虎门镇,113.672553,22.814835,1
望牛墩镇,113.656231,23.055334,1
南城街道,113.743835,23.018534,1
莞城街道,113.749234,23.038629,1
东城街道,113.783327,23.028053,1
万江街道,113.738542,23.047104,1
石排镇,113.9403,23.090292,1
厚街镇,113.67114,22.936585,1
长安镇,113.802516,22.814768,1
石碣镇,113.813068,23.099651,1
大朗镇,113.943978,22.940016,1
横沥镇,113.965588,23.018472,1
樟木头镇,114.083278,22.914909,1
清溪镇,114.164185,22.843847,1
麻涌镇,113.581134,23.051137,1
茶山镇,113.869636,23.076755,1
凤岗镇,114.136944,22.74695,1
高埗镇,113.745951,23.090824,1
中堂镇,113.656917,23.092609,1
桥头镇,114.10316,23.024132,1
谢岗镇,114.148739,22.961616,1
黄江镇,114.003561,22.915278,1
塘厦镇,114.072575,22.806965,1
寮步镇,113.874871,22.997358,1
洪梅镇,113.608903,22.994717,1
常平镇,113.993116,22.974855,1
石龙镇,113.874378,23.10591,1
佛山市,113.121435,23.021478,1
禅城区,113.122421,23.009551,1
高明区,112.892585,22.900139,1
南海区,113.143441,23.028956,1
三水区,112.896685,23.155931,1
顺德区,113.293359,22.80524,1
广州市,113.264385,23.12911,1
白云区,113.273238,23.157367,1
从化区,113.586679,23.548748,1
番禺区,113.384152,22.937556,1
海珠区,113.317443,23.083788,1
花都区,113.220463,23.403744,1
黄埔区,113.480541,23.181706,1
荔湾区,113.244258,23.125863,1
南沙区,113.525165,22.801624,1
天河区,113.361575,23.124807,1
越秀区,113.266835,23.128537,1
增城区,113.810627,23.261465,1
河源市,114.700961,23.743686,1
东源县,114.746344,23.788189,1
和平县,114.938684,24.44218,1
连平县,114.488556,24.369583,1
龙川县,115.259871,24.100066,1
源城区,114.702517,23.733969,1
紫金县,115.184107,23.635745,1
惠州市,114.415612,23.112381,1
博罗县,114.289528,23.172771,1
惠城区,114.382474,23.084137,1
惠东县,114.719988,22.985014,1
惠阳区,114.456176,22.789788,1
龙门县,114.254863,23.727737,1
江门市,113.081542,22.57899,1
恩平市,112.305145,22.183206,1
鹤山市,112.964252,22.76545,1
江海区,113.111612,22.560473,1
开平市,112.698545,22.376395,1
蓬江区,113.078521,22.595149,1
台山市,112.794065,22.251924,1
新会区,113.034187,22.4583,1
揭阳市,116.372708,23.549701,1
惠来县,116.29515,23.033266,1
揭东区,116.412015,23.566126,1
揭西县,115.841837,23.431294,1
普宁市,116.165777,23.297493,1
榕城区,116.367012,23.525382,1
茂名市,110.925439,21.662991,1
电白区,111.013556,21.514163,1
高州市,110.853299,21.918203,1
化州市,110.639565,21.66463,1
茂南区,110.918026,21.641337,1
信宜市,110.947043,22.354385,1
梅州市,116.122523,24.288578,1
大埔县,116.695195,24.347782,1
丰顺县,116.181691,23.739343,1
蕉岭县,116.171355,24.658699,1
梅江区,116.116695,24.31049,1
梅县区,116.081656,24.265926,1
平远县,115.891638,24.567261,1
五华县,115.775788,23.932409,1
兴宁市,115.731167,24.136708,1
清远市,113.056042,23.681774,1
佛冈县,113.531607,23.879192,1
连州市,112.377361,24.780966,1
连南瑶族自治县,112.287012,24.726017,1
连山壮族瑶族自治县,112.093617,24.570491,1
清新区,113.017747,23.734677,1
清城区,113.062692,23.697899,1
阳山县,112.641363,24.465359,1
英德市,113.401701,24.206986,1
汕头市,116.681972,23.354091,1
潮南区,116.439178,23.23865,1
澄海区,116.755992,23.466709,1
潮阳区,116.601509,23.265356,1
濠江区,116.726973,23.286079,1
金平区,116.70345,23.365556,1
龙湖区,116.716446,23.372254,1
南澳县,117.023374,23.421724,1
汕尾市,115.375431,22.78705,1
城区,115.365058,22.779207,1
海丰县,115.323436,22.966585,1
陆丰市,115.652151,22.919228,1
陆河县,115.660143,23.301616,1
韶关市,113.59762,24.810879,1
曲江区,113.604535,24.682501,1
乳源瑶族自治县,113.275883,24.776078,1
始兴县,114.061789,24.952976,1
翁源县,114.130342,24.350346,1
武江区,113.587756,24.792926,1
新丰县,114.206867,24.05976,1
浈江区,113.611098,24.804381,1
深圳市,114.057939,22.543527,1
宝安区,113.883802,22.554996,1
福田区,114.055072,22.521521,1
龙岗区,114.246899,22.720974,1
龙华区,114.045422,22.696667,1
罗湖区,114.131459,22.548389,1
南山区,113.930413,22.533287,1
坪山区,114.350584,22.708881,1
盐田区,114.236739,22.557001,1
阳江市,111.982589,21.857887,1
江城区,111.955058,21.861786,1
阳西县,111.61766,21.752771,1
阳东区,112.006363,21.868337,1
阳春市,111.791587,22.17041,1
